text,layer,head,mean_conc
poetry,9,4,0.29787361435592175
poetry,9,5,0.3280054712668061
poetry,9,6,0.33286199579015374
poetry,9,7,0.2878055921755731
poetry,9,8,0.3024581475183368
poetry,9,9,0.34586417442187667
poetry,9,10,0.31079729413613677
poetry,9,11,0.30984537955373526
poetry,10,0,0.3601202303543687
poetry,10,1,0.32052272744476795
poetry,10,2,0.33673256170004606
poetry,10,3,0.33061415143311024
poetry,10,4,0.3118693036958575
poetry,10,5,0.2812616773881018
poetry,10,6,0.31518880324438214
poetry,10,7,0.3660170352086425
poetry,10,8,0.2810419239103794
poetry,10,9,0.31199695682153106
poetry,10,10,0.3710020035505295
poetry,10,11,0.3285065642558038
poetry,11,0,0.30834758281707764
poetry,11,1,0.28920898772776127
poetry,11,2,0.3389273760840297
poetry,11,3,0.3691769167780876
poetry,11,4,0.325504831969738
poetry,11,5,0.3030853536911309
poetry,11,6,0.31968712341040373
poetry,11,7,0.30340723460540175
poetry,11,8,0.490814576856792
poetry,11,9,0.2957261083647609
poetry,11,10,0.32475581066682935
poetry,11,11,0.3635304868221283
dialogue,0,0,0.3213832007378948
dialogue,0,1,0.3566502758434841
dialogue,0,2,0.41847142698813455
dialogue,0,3,0.2853742886562737
dialogue,0,4,0.29588073644102836
dialogue,0,5,0.41341304779052734
dialogue,0,6,0.41090042585012865
dialogue,0,7,0.28245654884649785
dialogue,0,8,0.4125233812599766
dialogue,0,9,0.3603798528106845
dialogue,0,10,0.4043841891142787
dialogue,0,11,0.4928663689263013
dialogue,1,0,0.2949410108279209
dialogue,1,1,0.33386758699709057
dialogue,1,2,0.2936295502039851
dialogue,1,3,0.5990629366465977
dialogue,1,4,0.27348966622839166
dialogue,1,5,0.43142024716552424
dialogue,1,6,0.4507647025950101
dialogue,1,7,0.35337869914210573
dialogue,1,8,0.35960282263707144
dialogue,1,9,0.44752948503105006
dialogue,1,10,0.35375092132967345
dialogue,1,11,0.6138144640290008
dialogue,2,0,0.33599621848184236
dialogue,2,1,0.37578933275475795
dialogue,2,2,0.2853309244525676
dialogue,2,3,0.2821345657718425
dialogue,2,4,0.401009203828111
dialogue,2,5,0.2752924616239509
dialogue,2,6,0.36221457774541815
dialogue,2,7,0.3521033428153213
dialogue,2,8,0.3430283370674873
dialogue,2,9,0.2954402149331813
dialogue,2,10,0.3627068655831473
