model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2-medium,6,5,-0.6628303,0.32994465478535356,-0.5841245411498991,64
gpt2-medium,6,6,-0.69515246,0.30538580386803066,-0.46782800934776836,64
gpt2-medium,6,7,-0.775437,0.31411399974905213,-0.2484607691441772,64
gpt2-medium,6,8,-0.7927044,0.3269735600413947,-0.5755768840928877,64
gpt2-medium,6,9,-0.91606057,0.3879893072720232,0.10666465375994502,64
gpt2-medium,6,10,-0.8236097,0.3157487316378232,-0.7343195156325786,64
gpt2-medium,6,11,-0.8173195,0.3236322742083977,-0.3993756326411688,64
gpt2-medium,6,12,-0.5116896,0.42734535089854536,0.008238092703384778,64
gpt2-medium,6,13,-0.8785679,0.33877244386179695,-0.4100802707586552,64
gpt2-medium,6,14,-0.68595743,0.34749232181187334,-0.37006080983361533,64
gpt2-medium,6,15,-0.8973756,0.2773137611561808,-0.4653836858185669,64
gpt2-medium,7,0,-0.910549,0.2835909205264059,-0.2910722990956269,64
gpt2-medium,7,1,-0.82774496,0.28800206143280555,-0.8259688355704758,64
gpt2-medium,7,2,-0.927692,0.28186996075613746,-0.2850073279201437,64
gpt2-medium,7,3,-0.8111559,0.324210567207172,-0.2051875893788846,64
gpt2-medium,7,4,-0.81222576,0.34276312229962186,-0.4158102260589162,64
gpt2-medium,7,5,-0.7409108,0.33590056259056617,-0.2564208489713711,64
gpt2-medium,7,6,-0.70441383,0.3118090197957795,-0.8414839524081705,64
gpt2-medium,7,7,-0.6935954,0.33127167152947395,-0.5530083313545638,64
gpt2-medium,7,8,-0.75447994,0.35196528814989947,-0.17039042684107691,64
gpt2-medium,7,9,-0.70119566,0.3267594735170233,-0.7233537259664835,64
gpt2-medium,7,10,-0.887965,0.31358324762048395,-0.2671660625345381,64
gpt2-medium,7,11,-0.69515544,0.3374404501298378,-0.5012940807243527,64
gpt2-medium,7,12,-0.84205174,0.2994203171853361,-0.5811929100422808,64
gpt2-medium,7,13,-0.74816227,0.317220204863055,-0.16419829093360241,64
gpt2-medium,7,14,-0.67545265,0.32871299211321203,-0.6038441134485798,64
gpt2-medium,7,15,-0.83205426,0.3134215571757021,-0.2883980568247215,64
gpt2-medium,8,0,-0.8001016,0.3367312041849926,-0.5586610662101702,64
gpt2-medium,8,1,-0.7980172,0.30226007001153354,-0.4736726163296257,64
gpt2-medium,8,2,-0.71948564,0.3564655066564165,-0.5050901731195451,64
gpt2-medium,8,3,-0.7446109,0.30208208745923537,-0.7078036683381052,64
gpt2-medium,8,4,-0.8102473,0.3105158908613797,-0.5278189613224821,64
gpt2-medium,8,5,-0.69845253,0.32667964337200955,-0.4796379786476996,64
gpt2-medium,8,6,-0.55523443,0.3891386369179035,-0.6508647835571135,64
gpt2-medium,8,7,-0.75232136,0.34841468930244446,-0.7835609773747823,64
gpt2-medium,8,8,-0.83714163,0.36409993418331804,-0.6391580750999781,64
gpt2-medium,8,9,-0.44876632,0.43163051173604766,-0.048918572593161194,64
gpt2-medium,8,10,-0.7530845,0.36275717102248095,-0.4902774627607379,64
gpt2-medium,8,11,-0.8447514,0.36103065722975236,-0.24212121020277125,64
gpt2-medium,8,12,-0.6976591,0.3115033918413623,-0.6977504478929428,64
gpt2-medium,8,13,-0.72994304,0.3439714816109887,-0.39185498822271936,64
gpt2-medium,8,14,-0.6665711,0.3324414933549947,-0.4877398761057505,64
gpt2-medium,8,15,-0.8314828,0.3835060103186246,-0.6098323849933606,64
gpt2-medium,9,0,-0.67125404,0.3775070371298954,-0.5000635933484706,64
gpt2-medium,9,1,-0.83223444,0.27897548881070366,-0.2770350701000092,64
gpt2-medium,9,2,-0.83432454,0.29712775709300204,-0.36862949735945094,64
gpt2-medium,9,3,-0.76899594,0.3606716312211135,-0.35665939779304645,64
gpt2-medium,9,4,-0.8809746,0.2903543669601967,-0.4858933380026471,64
gpt2-medium,9,5,-0.80636,0.33810188338674346,-0.5037595124089431,64
gpt2-medium,9,6,-0.9046347,0.3750193900075452,-0.0007258411826202695,64
gpt2-medium,9,7,-0.6662294,0.3610832968662525,-0.5136064862326909,64
gpt2-medium,9,8,-0.65917575,0.351350212919301,-0.6782710481036168,64
gpt2-medium,9,9,-0.94816756,0.26544691057040776,-0.22907996964446262,64
gpt2-medium,9,10,-0.82300633,0.3272421108237628,-0.749657626860157,64
gpt2-medium,9,11,-0.7639231,0.32891453134602516,-0.591434770814988,64
gpt2-medium,9,12,-0.91939086,0.2949580139127271,-0.1807550639441554,64
gpt2-medium,9,13,-0.8566392,0.31728343819749766,-0.5539155905072847,64
gpt2-medium,9,14,-0.73991627,0.3620343896849402,-0.6042202471421557,64
gpt2-medium,9,15,-0.75067276,0.33888391328269035,-0.2307374387510455,64
gpt2-medium,10,0,-0.80581677,0.3298113685229729,-0.611991633116929,64
gpt2-medium,10,1,-0.86361974,0.3089634668210457,-0.04423953216947902,64
gpt2-medium,10,2,-0.6678699,0.3777990176759917,-0.49490629628770033,64
gpt2-medium,10,3,-0.78281796,0.31937255068071957,-0.4719727719703235,64
gpt2-medium,10,4,-0.6471977,0.3357556863077756,-0.6628259359353661,64
gpt2-medium,10,5,-0.7951136,0.3524649430965555,-0.2637742621295654,64
gpt2-medium,10,6,-0.85246766,0.309324800454337,-0.6808885688205527,64
gpt2-medium,10,7,-0.86307484,0.3009111896671098,-0.749385856691962,64
gpt2-medium,10,8,-0.930052,0.30060511621935615,-0.23060012743602298,64
gpt2-medium,10,9,-0.68935794,0.3973263296587714,-0.4338034026568009,64
