domain,layer,head,rA,mean_conc
double,2,10,-0.4514199827998803,0.32054019875304646
double,2,11,-0.5677084222416873,0.34345223113547924
double,3,0,-0.5351283712912764,0.5158815262622611
double,3,1,-0.4777090700294243,0.2987120872320131
double,3,2,-0.5623296242842257,0.2572779076737027
double,3,3,-0.40069339752349364,0.30623076700193935
double,3,4,-0.5754840635670732,0.37562839392312736
double,3,5,-0.48528691924586304,0.3137948026144227
double,3,6,-0.4784960122926623,0.3076017909618311
double,3,7,-0.5145842788961396,0.30511000509871994
double,3,8,-0.4211061002014838,0.3280005578038304
double,3,9,-0.4374389034924013,0.3153887009897897
double,3,10,-0.5968898870706552,0.28795238722895466
double,3,11,-0.5382418730881222,0.3152169573099114
double,4,0,-0.46403694083186425,0.2886603015453316
double,4,1,-0.48174474927123745,0.29296969882277557
double,4,2,-0.40017199197902975,0.3596702197263407
double,4,3,-0.5071375263952425,0.2933228572094163
double,4,4,-0.574570030319956,0.3707803666245106
double,4,5,-0.5674644350441612,0.26688297231530034
double,4,6,-0.5849308616268502,0.3089740428813668
double,4,7,-0.5023675425754446,0.31802610585162805
double,4,8,-0.5770337049590522,0.2969839004583137
double,4,9,-0.5033340218779213,0.2952412309688191
double,4,10,-0.5076354387437366,0.35339022081258686
double,4,11,-0.6777414155174183,0.2979811225519624
double,5,0,-0.696308991504335,0.2897145729078803
double,5,1,-0.7766204979570752,0.27173323426828827
double,5,2,-0.6864316302730655,0.2644293057017548
double,5,3,-0.48066108083971243,0.3174316403131152
double,5,4,-0.5788055660764124,0.2652610833215159
double,5,5,-0.7058731209638618,0.2890177329265794
double,5,6,-0.664292556774218,0.27405275802972706
double,5,7,-0.6078726550179699,0.3027281094082566
double,5,8,-0.686319785816913,0.26412431306617207
double,5,9,-0.7687499868965201,0.29254228049932524
double,5,10,-0.4347257380769288,0.35654526758332583
double,5,11,-0.3395087523759291,0.3835887818835502
double,6,0,-0.6106055708543832,0.30398571196683616
double,6,1,-0.7079455127625783,0.26103566483009694
double,6,2,-0.5100190752662603,0.33725363535936487
double,6,3,-0.6010783881502296,0.2995734873206116
double,6,4,-0.42405279605498336,0.3305679006978523
double,6,5,-0.6354491272608148,0.29656964003346686
double,6,6,-0.5869863704216101,0.3108576366374659
double,6,7,-0.5323539778886985,0.32101696192525153
double,6,8,-0.637667102968125,0.27059063055487564
double,6,9,-0.7187817496565387,0.27878814277260805
double,6,10,-0.544583431473751,0.3094061048224915
double,6,11,-0.6250382161098604,0.2895400683547175
double,7,0,-0.6754725017948229,0.2832481628933618
double,7,1,-0.5391587161212176,0.31957744685716405
double,7,2,-0.7565323277978436,0.2636577549368836
